name,lat,lon,population
San Buenaventura,34.2741,-119.2314,110572
Everett,47.9525,-122.1669,110438
Sugar Land,29.5935,-95.6358,110272
El Monte,34.0739,-118.0291,110144
Lewisville,33.0454,-96.9815,110077
Chico,39.7578,-121.8161,110001
Eau Claire,44.8197,-91.4948,109491
West Covina,34.0555,-117.9113,109396
Temecula,33.4928,-117.1315,109376
Idaho Falls,43.4871,-112.0362,108544
Bloomington,39.1637,-86.5257,108387
Inglewood,33.9566,-118.3444,108206
Dearborn,42.3127,-83.213,107985
Centennial,39.5926,-104.8673,107972
Burbank,34.1879,-118.3235,107364
Sparks,39.5736,-119.7161,106900
Sandy Springs,33.9366,-84.3703,106605
El Cajon,32.8017,-116.9604,106043
Hillsboro,45.5273,-122.936,105909
South Fulton,33.6273,-84.58,105551
Auburn,32.6087,-85.4903,105386
Renton,47.4784,-122.1918,105313
Holland,42.7677,-86.0984,105134
San Mateo,37.5522,-122.3121,105087
Columbia,39.2004,-76.859,105086
Daly City,37.6862,-122.4685,104914
Davie,26.0789,-80.287,104782
Jurupa Valley,34.001,-117.4706,104684
Brockton,42.0821,-71.0242,104216
Rialto,34.1175,-117.3892,103799
Charlottesville,38.0375,-78.4855,103760
Norwalk,33.9069,-118.0829,103330
Highlands Ranch,39.5419,-104.9708,103238
Allen,33.1088,-96.6735,102778
Wichita Falls,33.9072,-98.5291,102563
Rio Rancho,35.2873,-106.6982,102403
Vacaville,38.3587,-121.9673,102256
Spokane Valley,47.6626,-117.2346,102178
Longmont,40.1686,-105.1005,101642
Kingsport,36.5224,-82.5454,101323
Menifee,33.6909,-117.1849,101089
Lee's Summit,38.9171,-94.3816,100772
Quincy,42.2506,-71.0187,100544
Lynn,42.4781,-70.9664,100233
San Angelo,31.4424,-100.4504,100057
Federal Way,47.3091,-122.3358,99792
Bowling Green,36.9716,-86.4378,99669
Bismarck,46.8143,-100.7694,99433
Hesperia,34.3975,-117.3147,99287
Riverview,27.8227,-82.3023,98928
Lafayette,39.9946,-105.0998,98889
Edinburg,26.3196,-98.1597,98759
Vista,33.1896,-117.2386,98651
Carmel,39.965,-86.146,98137
St. Augustine,29.8976,-81.31,97703
Beaverton,45.4779,-122.8168,97466
Portsmouth,36.8468,-76.354,97454
Fishers,39.9588,-85.9659,97154
Orem,40.2981,-111.6994,96734
Sandy,40.5709,-111.8506,96272
Sunrise,26.1547,-80.2997,96220
Portsmouth,43.058,-70.7826,96146
San Tan Valley,33.1786,-111.5629,96127
Compton,33.893,-118.2274,96083
Lawrence,38.9597,-95.2642,96061
Arden-Arcade,38.6017,-121.3845,95909
Slidell,30.2887,-89.7828,95528
Boca Raton,26.3752,-80.108,95347
Livonia,42.3972,-83.3733,95294
Carson,33.8374,-118.2559,95104
Williamsburg,37.2693,-76.7076,94892
La Crosse,43.8241,-91.2268,94627
San Marcos,33.135,-117.1743,94313
Prescott Valley,34.598,-112.3185,93923
Middletown,39.5033,-84.3659,93870
Goodyear,33.2614,-112.3622,93651
San Germán,18.0827,-67.046,93549
Edmond,35.6689,-97.416,93522
Fall River,41.7136,-71.1015,93339
South Gate,33.9447,-118.1926,93308
Suffolk,36.6953,-76.6398,93268
Santa Fe,35.6619,-105.9819,93165
Mayagüez,18.2003,-67.1397,93079
Santa Monica,34.0235,-118.481,92828
Tracy,37.7269,-121.4523,92792
Roswell,34.0391,-84.3513,92688
Plantation,26.1259,-80.2617,92212
Alafaya,28.528,-81.1868,92080
Kirkland,47.697,-122.2057,91656
Hoover,33.3763,-86.8068,91371
Westminster,33.7523,-117.9938,91267
Lawton,34.6175,-98.4202,91247
San Leandro,37.7074,-122.1599,91176
Norwalk,41.1144,-73.4215,90821
O'Fallon,38.785,-90.7175,90802
Manteca,37.7927,-121.2264,90678
Florence,34.178,-79.7898,90419
Joplin,37.0757,-94.5018,90384
Chino,33.9836,-117.6654,90279
Germantown,39.1755,-77.2643,90235
Waukegan,42.3698,-87.8716,89751
Buckeye,33.4314,-112.6429,89711
Town 'n' Country,28.0106,-82.5763,89679
Clifton,40.863,-74.1575,89460
Bloomington,44.8306,-93.3151,89436
Mount Pleasant,32.8537,-79.8203,88900
Missoula,46.8751,-114.0214,88780
Newton,42.3316,-71.2085,88647
Livermore,37.6868,-121.7607,88403
Palm Coast,29.5389,-81.2457,88313
Avondale,33.3873,-112.3235,88065
Muncie,40.1989,-85.395,88061
Conroe,30.3238,-95.4824,87930
Hawthorne,33.9147,-118.3476,87863
Rapid City,44.0716,-103.2204,87826
Lawrence,42.7002,-71.1626,87798
New Braunfels,29.6994,-98.1148,87549
Citrus Heights,38.6948,-121.288,87521
Whittier,33.9678,-118.0188,87184
Troy,42.5817,-83.1457,86912
Winchester,39.1735,-78.1746,86813
Decatur,39.8557,-88.9342,86231
Deerfield Beach,26.305,-80.1277,86062
Vineland,39.4653,-74.9981,86042
