,name,lat,lon,population,state
13458,Green Springs,41.2569,-83.053,1334,Ohio
13461,Burt,43.2358,-83.9027,1334,Michigan
13462,Grand Ronde,45.0739,-123.6211,1334,Oregon
13463,Redkey,40.3483,-85.1539,1333,Indiana
13464,Soap Lake,47.3914,-119.4893,1333,Washington
13467,Tangent,44.5477,-123.1109,1332,Oregon
13469,Julian,33.0735,-116.5889,1332,California
13470,North Ballston Spa,43.0194,-73.8516,1332,New York
13472,McGraw,42.5938,-76.0975,1331,New York
13476,East Marion,41.1288,-72.3419,1331,New York
13480,Marlinton,38.2245,-80.0905,1329,West Virginia
13481,Red Boiling Springs,36.5301,-85.8481,1329,Tennessee
13482,Griggsville,39.7078,-90.7276,1328,Illinois
13483,Lake Catherine,42.487,-88.1272,1328,Illinois
13484,Patton Village,30.1954,-95.1643,1328,Texas
13487,Panama,35.1711,-94.669,1327,Oklahoma
13488,Labadieville,29.8246,-90.9525,1327,Louisiana
13489,Pomona Park,29.5015,-81.5936,1327,Florida
13490,Fyffe,34.449,-85.9052,1327,Alabama
13491,McAlmont,34.7925,-92.196,1327,Arkansas
13492,Norris City,37.979,-88.3279,1327,Illinois
13493,Borden,38.4699,-85.9491,1326,Indiana
13494,Six Shooter Canyon,33.3569,-110.7719,1326,Arizona
13495,East Hazel Crest,41.5758,-87.6503,1326,Illinois
13496,West Canton,35.5384,-82.8672,1326,North Carolina
13498,Ruckersville,38.2314,-78.3756,1325,Virginia
13499,Muhlenberg Park,40.3868,-75.9398,1324,Pennsylvania
13501,Bay Park,40.6302,-73.667,1324,New York
13502,Kibler,35.4268,-94.2358,1324,Arkansas
13503,Saint John Fisher College,43.1143,-77.5108,1324,New York
13504,Lomas Verdes Comunidad,18.3823,-67.1201,1324,Puerto Rico
13506,Duenweg,37.0841,-94.4119,1323,Missouri
13507,Wisner,41.9891,-96.9147,1323,Nebraska
13510,Whitley City,36.7238,-84.4731,1323,Kentucky
13513,Eaton Estates,41.3061,-82.0114,1322,Ohio
13516,Riner,37.0676,-80.4405,1322,Virginia
13518,Ontonagon,46.8665,-89.3122,1322,Michigan
13524,Bushyhead,36.4596,-95.5164,1320,Oklahoma
13525,Markle,40.8285,-85.3406,1320,Indiana
13526,Barneveld,43.0117,-89.8969,1319,Wisconsin
13527,Newburg,43.4321,-88.0477,1319,Wisconsin
13528,Sargent,28.7966,-95.6465,1319,Texas
13529,Ignacio,37.118,-107.6376,1319,Colorado
13530,Tome,34.739,-106.7251,1319,New Mexico
13531,Brookfield Center,41.2384,-80.5548,1319,Ohio
13535,Basye,38.8182,-78.7659,1318,Virginia
13536,Saylorsburg,40.8998,-75.3179,1318,Pennsylvania
13538,Mendon,41.7102,-111.9776,1317,Utah
13539,Okawville,38.4344,-89.548,1317,Illinois
13540,Monette,35.8931,-90.3443,1317,Arkansas
